Model,File,url
Undi95/MG-FinalMix-72B,hf://datasets/open-llm-leaderboard/Undi95__MG-FinalMix-72B-details/Undi95__MG-FinalMix-72B/samples_leaderboard_mmlu_pro_2024-08-13T03-04-37.418689.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Undi95__MG-FinalMix-72B-details
EVA-UNIT-01/EVA-Qwen2.5-72B-v0.2,hf://datasets/open-llm-leaderboard/EVA-UNIT-01__EVA-Qwen2.5-72B-v0.2-details/EVA-UNIT-01__EVA-Qwen2.5-72B-v0.2/samples_leaderboard_mmlu_pro_2024-11-28T01-23-33.473911.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/EVA-UNIT-01__EVA-Qwen2.5-72B-v0.2-details
dfurman/Qwen2-72B-Orpo-v0.1,hf://datasets/open-llm-leaderboard/dfurman__Qwen2-72B-Orpo-v0.1-details/dfurman__Qwen2-72B-Orpo-v0.1/samples_leaderboard_mmlu_pro_2024-09-03T06-43-27.367872.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dfurman__Qwen2-72B-Orpo-v0.1-details
dnhkng/RYS-XLarge-base,hf://datasets/open-llm-leaderboard/dnhkng__RYS-XLarge-base-details/dnhkng__RYS-XLarge-base/samples_leaderboard_mmlu_pro_2024-09-30T07-18-08.077014.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dnhkng__RYS-XLarge-base-details
arcee-ai/Arcee-Nova,hf://datasets/open-llm-leaderboard/arcee-ai__Arcee-Nova-details/arcee-ai__Arcee-Nova/samples_leaderboard_mmlu_pro_2024-09-21T19-05-09.745742.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/arcee-ai__Arcee-Nova-details
Qwen/Qwen2-72B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2-72B-Instruct-details/Qwen__Qwen2-72B-Instruct/samples_leaderboard_mmlu_pro_2024-06-25T09-33-51.178365.json,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2-72B-Instruct-details
mlabonne/BigQwen2.5-52B-Instruct,hf://datasets/open-llm-leaderboard/mlabonne__BigQwen2.5-52B-Instruct-details/mlabonne__BigQwen2.5-52B-Instruct/samples_leaderboard_mmlu_pro_2024-09-29T03-01-41.525123.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/mlabonne__BigQwen2.5-52B-Instruct-details
VAGOsolutions/Llama-3.1-SauerkrautLM-70b-Instruct,hf://datasets/open-llm-leaderboard/VAGOsolutions__Llama-3.1-SauerkrautLM-70b-Instruct-details/VAGOsolutions__Llama-3.1-SauerkrautLM-70b-Instruct/samples_leaderboard_mmlu_pro_2024-09-01T14-39-28.471788.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/VAGOsolutions__Llama-3.1-SauerkrautLM-70b-Instruct-details
meta-llama/Meta-Llama-3.1-70B-Instruct,hf://datasets/open-llm-leaderboard/meta-llama__Meta-Llama-3.1-70B-Instruct-details/meta-llama__Meta-Llama-3.1-70B-Instruct/samples_leaderboard_mmlu_pro_2024-07-19T18-47-29.522341.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/meta-llama__Meta-Llama-3.1-70B-Instruct-details
abacusai/Dracarys-72B-Instruct,hf://datasets/open-llm-leaderboard/abacusai__Dracarys-72B-Instruct-details/abacusai__Dracarys-72B-Instruct/samples_leaderboard_mmlu_pro_2024-09-03T00-05-50.687721.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/abacusai__Dracarys-72B-Instruct-details
anthracite-org/magnum-v1-72b,hf://datasets/open-llm-leaderboard/anthracite-org__magnum-v1-72b-details/anthracite-org__magnum-v1-72b/samples_leaderboard_mmlu_pro_2024-09-28T22-23-12.028016.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/anthracite-org__magnum-v1-72b-details
dnhkng/RYS-Llama3.1-Large,hf://datasets/open-llm-leaderboard/dnhkng__RYS-Llama3.1-Large-details/dnhkng__RYS-Llama3.1-Large/samples_leaderboard_mmlu_pro_2024-09-03T04-47-16.744085.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dnhkng__RYS-Llama3.1-Large-details
fblgit/TheBeagle-v2beta-32B-MGS,hf://datasets/open-llm-leaderboard/fblgit__TheBeagle-v2beta-32B-MGS-details/fblgit__TheBeagle-v2beta-32B-MGS/samples_leaderboard_mmlu_pro_2024-11-06T23-16-01.655675.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/fblgit__TheBeagle-v2beta-32B-MGS-details
tanliboy/lambda-qwen2.5-14b-dpo-test,hf://datasets/open-llm-leaderboard/tanliboy__lambda-qwen2.5-14b-dpo-test-details/tanliboy__lambda-qwen2.5-14b-dpo-test/samples_leaderboard_mmlu_pro_2024-09-27T22-59-32.436873.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/tanliboy__lambda-qwen2.5-14b-dpo-test-details
Goekdeniz-Guelmez/Josiefied-Qwen2.5-14B-Instruct-abliterated-v4,hf://datasets/open-llm-leaderboard/Goekdeniz-Guelmez__Josiefied-Qwen2.5-14B-Instruct-abliterated-v4-details/Goekdeniz-Guelmez__Josiefied-Qwen2.5-14B-Instruct-abliterated-v4/samples_leaderboard_mmlu_pro_2024-10-29T00-47-33.820955.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Goekdeniz-Guelmez__Josiefied-Qwen2.5-14B-Instruct-abliterated-v4-details
sthenno-com/miscii-14b-1028,hf://datasets/open-llm-leaderboard/sthenno-com__miscii-14b-1028-details/sthenno-com__miscii-14b-1028/samples_leaderboard_mmlu_pro_2024-11-18T08-29-20.663798.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/sthenno-com__miscii-14b-1028-details
allenai/Llama-3.1-Tulu-3-70B,hf://datasets/open-llm-leaderboard/allenai__Llama-3.1-Tulu-3-70B-details/allenai__Llama-3.1-Tulu-3-70B/samples_leaderboard_mmlu_pro_2024-11-28T11-23-14.718146.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/allenai__Llama-3.1-Tulu-3-70B-details
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,hf://datasets/open-llm-leaderboard/BenevolenceMessiah__Qwen2.5-72B-2x-Instruct-TIES-v1.0-details/BenevolenceMessiah__Qwen2.5-72B-2x-Instruct-TIES-v1.0/samples_leaderboard_mmlu_pro_2024-11-25T10-42-51.480482.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/BenevolenceMessiah__Qwen2.5-72B-2x-Instruct-TIES-v1.0-details
allenai/Llama-3.1-Tulu-3-70B-DPO,hf://datasets/open-llm-leaderboard/allenai__Llama-3.1-Tulu-3-70B-DPO-details/allenai__Llama-3.1-Tulu-3-70B-DPO/samples_leaderboard_mmlu_pro_2024-11-28T10-35-37.299865.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/allenai__Llama-3.1-Tulu-3-70B-DPO-details
rombodawg/Rombos-LLM-V2.6-Qwen-14b,hf://datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.6-Qwen-14b-details/rombodawg__Rombos-LLM-V2.6-Qwen-14b/samples_leaderboard_mmlu_pro_2024-12-07T05-11-23.662862.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.6-Qwen-14b-details
abacusai/Smaug-Qwen2-72B-Instruct,hf://datasets/open-llm-leaderboard/abacusai__Smaug-Qwen2-72B-Instruct-details/abacusai__Smaug-Qwen2-72B-Instruct/samples_leaderboard_mmlu_pro_2024-08-02T00-34-28.424224.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/abacusai__Smaug-Qwen2-72B-Instruct-details
rombodawg/Rombos-LLM-V2.6-Nemotron-70b,hf://datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.6-Nemotron-70b-details/rombodawg__Rombos-LLM-V2.6-Nemotron-70b/samples_leaderboard_mmlu_pro_2024-10-17T23-32-17.378511.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.6-Nemotron-70b-details
Tsunami-th/Tsunami-1.0-14B-Instruct,hf://datasets/open-llm-leaderboard/Tsunami-th__Tsunami-1.0-14B-Instruct-details/Tsunami-th__Tsunami-1.0-14B-Instruct/samples_leaderboard_mmlu_pro_2024-10-26T01-02-21.490582.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Tsunami-th__Tsunami-1.0-14B-Instruct-details
anthracite-org/magnum-v2-72b,hf://datasets/open-llm-leaderboard/anthracite-org__magnum-v2-72b-details/anthracite-org__magnum-v2-72b/samples_leaderboard_mmlu_pro_2024-09-24T21-09-52.452745.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/anthracite-org__magnum-v2-72b-details
CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,hf://datasets/open-llm-leaderboard/CombinHorizon__Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES-details/CombinHorizon__Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES/samples_leaderboard_mmlu_pro_2024-12-07T05-30-29.259046.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CombinHorizon__Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES-details
huihui-ai/Qwen2.5-14B-Instruct-abliterated-v2,hf://datasets/open-llm-leaderboard/huihui-ai__Qwen2.5-14B-Instruct-abliterated-v2-details/huihui-ai__Qwen2.5-14B-Instruct-abliterated-v2/samples_leaderboard_mmlu_pro_2024-12-07T05-46-12.695164.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/huihui-ai__Qwen2.5-14B-Instruct-abliterated-v2-details
huihui-ai/QwQ-32B-Coder-Fusion-9010,hf://datasets/open-llm-leaderboard/huihui-ai__QwQ-32B-Coder-Fusion-9010-details/huihui-ai__QwQ-32B-Coder-Fusion-9010/samples_leaderboard_mmlu_pro_2024-12-07T16-02-39.164604.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/huihui-ai__QwQ-32B-Coder-Fusion-9010-details
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,hf://datasets/open-llm-leaderboard/CombinHorizon__huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES-details/CombinHorizon__huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES/samples_leaderboard_mmlu_pro_2024-12-07T06-29-43.941929.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CombinHorizon__huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES-details
nbeerbower/Qwen2.5-Gutenberg-Doppel-14B,hf://datasets/open-llm-leaderboard/nbeerbower__Qwen2.5-Gutenberg-Doppel-14B-details/nbeerbower__Qwen2.5-Gutenberg-Doppel-14B/samples_leaderboard_mmlu_pro_2024-11-11T15-47-45.295181.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/nbeerbower__Qwen2.5-Gutenberg-Doppel-14B-details
Qwen/Qwen2.5-14B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2.5-14B-Instruct-details/Qwen__Qwen2.5-14B-Instruct/samples_leaderboard_mmlu_pro_2024-09-19T08-51-03.564190.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2.5-14B-Instruct-details
OpenBuddy/openbuddy-llama3.1-70b-v22.1-131k,hf://datasets/open-llm-leaderboard/OpenBuddy__openbuddy-llama3.1-70b-v22.1-131k-details/OpenBuddy__openbuddy-llama3.1-70b-v22.1-131k/samples_leaderboard_mmlu_pro_2024-09-14T13-07-38.561128.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/OpenBuddy__openbuddy-llama3.1-70b-v22.1-131k-details
dwikitheduck/gen-inst-1,hf://datasets/open-llm-leaderboard/dwikitheduck__gen-inst-1-details/dwikitheduck__gen-inst-1/samples_leaderboard_mmlu_pro_2024-11-25T00-14-37.470143.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dwikitheduck__gen-inst-1-details
nbeerbower/Llama-3.1-Nemotron-lorablated-70B,hf://datasets/open-llm-leaderboard/nbeerbower__Llama-3.1-Nemotron-lorablated-70B-details/nbeerbower__Llama-3.1-Nemotron-lorablated-70B/samples_leaderboard_mmlu_pro_2024-11-28T04-52-13.337036.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/nbeerbower__Llama-3.1-Nemotron-lorablated-70B-details
KSU-HW-SEC/Llama3.1-70b-SVA-FT-1000step,hf://datasets/open-llm-leaderboard/KSU-HW-SEC__Llama3.1-70b-SVA-FT-1000step-details/KSU-HW-SEC__Llama3.1-70b-SVA-FT-1000step/samples_leaderboard_mmlu_pro_2024-09-14T13-17-42.155979.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/KSU-HW-SEC__Llama3.1-70b-SVA-FT-1000step-details
arcee-ai/Virtuoso-Small,hf://datasets/open-llm-leaderboard/arcee-ai__Virtuoso-Small-details/arcee-ai__Virtuoso-Small/samples_leaderboard_mmlu_pro_2024-12-03T20-53-01.567154.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/arcee-ai__Virtuoso-Small-details
qingy2024/Qwen2.5-Math-14B-Instruct-Preview,hf://datasets/open-llm-leaderboard/qingy2024__Qwen2.5-Math-14B-Instruct-Preview-details/qingy2024__Qwen2.5-Math-14B-Instruct-Preview/samples_leaderboard_mmlu_pro_2024-12-11T02-56-45.077518.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/qingy2024__Qwen2.5-Math-14B-Instruct-Preview-details
Qwen/Qwen2.5-Coder-32B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2.5-Coder-32B-Instruct-details/Qwen__Qwen2.5-Coder-32B-Instruct/samples_leaderboard_mmlu_pro_2024-12-11T05-46-11.786115.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2.5-Coder-32B-Instruct-details
OpenBuddy/openbuddy-nemotron-70b-v23.1-131k,hf://datasets/open-llm-leaderboard/OpenBuddy__openbuddy-nemotron-70b-v23.1-131k-details/OpenBuddy__openbuddy-nemotron-70b-v23.1-131k/samples_leaderboard_mmlu_pro_2024-10-24T01-38-11.590912.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/OpenBuddy__openbuddy-nemotron-70b-v23.1-131k-details
ehristoforu/RQwen-v0.1,hf://datasets/open-llm-leaderboard/ehristoforu__RQwen-v0.1-details/ehristoforu__RQwen-v0.1/samples_leaderboard_mmlu_pro_2024-11-24T18-54-31.650276.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/ehristoforu__RQwen-v0.1-details
Qwen/Qwen2-VL-72B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2-VL-72B-Instruct-details/Qwen__Qwen2-VL-72B-Instruct/samples_leaderboard_mmlu_pro_2024-10-22T04-20-31.971941.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2-VL-72B-Instruct-details
allknowingroger/QwenSlerp6-14B,hf://datasets/open-llm-leaderboard/allknowingroger__QwenSlerp6-14B-details/allknowingroger__QwenSlerp6-14B/samples_leaderboard_mmlu_pro_2024-12-06T19-39-20.271977.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/allknowingroger__QwenSlerp6-14B-details
rombodawg/Rombos-LLM-V2.5-Qwen-14b,hf://datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.5-Qwen-14b-details/rombodawg__Rombos-LLM-V2.5-Qwen-14b/samples_leaderboard_mmlu_pro_2024-09-29T13-44-29.673248.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.5-Qwen-14b-details
dwikitheduck/gen-try1,hf://datasets/open-llm-leaderboard/dwikitheduck__gen-try1-details/dwikitheduck__gen-try1/samples_leaderboard_mmlu_pro_2024-11-12T10-54-18.580875.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dwikitheduck__gen-try1-details
NLPark/Shi-Ci-Robin-Test_3AD80,hf://datasets/open-llm-leaderboard/NLPark__Shi-Ci-Robin-Test_3AD80-details/NLPark__Shi-Ci-Robin-Test_3AD80/samples_leaderboard_mmlu_pro_2024-10-26T00-20-39.168330.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/NLPark__Shi-Ci-Robin-Test_3AD80-details
OpenBuddy/openbuddy-nemotron-70b-v23.2-131k,hf://datasets/open-llm-leaderboard/OpenBuddy__openbuddy-nemotron-70b-v23.2-131k-details/OpenBuddy__openbuddy-nemotron-70b-v23.2-131k/samples_leaderboard_mmlu_pro_2024-10-26T00-27-49.147323.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/OpenBuddy__openbuddy-nemotron-70b-v23.2-131k-details
arcee-ai/SuperNova-Medius,hf://datasets/open-llm-leaderboard/arcee-ai__SuperNova-Medius-details/arcee-ai__SuperNova-Medius/samples_leaderboard_mmlu_pro_2024-10-23T18-42-29.666982.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/arcee-ai__SuperNova-Medius-details
internlm/internlm2_5-20b-chat,hf://datasets/open-llm-leaderboard/internlm__internlm2_5-20b-chat-details/internlm__internlm2_5-20b-chat/samples_leaderboard_mmlu_pro_2024-08-12T17-32-55.534494.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/internlm__internlm2_5-20b-chat-details
allenai/Llama-3.1-Tulu-3-70B-SFT,hf://datasets/open-llm-leaderboard/allenai__Llama-3.1-Tulu-3-70B-SFT-details/allenai__Llama-3.1-Tulu-3-70B-SFT/samples_leaderboard_mmlu_pro_2024-11-28T04-20-20.962046.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/allenai__Llama-3.1-Tulu-3-70B-SFT-details
allknowingroger/QwenSlerp4-14B,hf://datasets/open-llm-leaderboard/allknowingroger__QwenSlerp4-14B-details/allknowingroger__QwenSlerp4-14B/samples_leaderboard_mmlu_pro_2024-12-06T19-49-12.629259.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/allknowingroger__QwenSlerp4-14B-details
CultriX/Qwen2.5-14B-MegaMerge-pt2,hf://datasets/open-llm-leaderboard/CultriX__Qwen2.5-14B-MegaMerge-pt2-details/CultriX__Qwen2.5-14B-MegaMerge-pt2/samples_leaderboard_mmlu_pro_2024-10-25T17-28-29.915496.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CultriX__Qwen2.5-14B-MegaMerge-pt2-details
CultriX/Qwestion-14B,hf://datasets/open-llm-leaderboard/CultriX__Qwestion-14B-details/CultriX__Qwestion-14B/samples_leaderboard_mmlu_pro_2024-11-23T06-19-01.826337.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CultriX__Qwestion-14B-details
NousResearch/Hermes-3-Llama-3.1-70B,hf://datasets/open-llm-leaderboard/NousResearch__Hermes-3-Llama-3.1-70B-details/NousResearch__Hermes-3-Llama-3.1-70B/samples_leaderboard_mmlu_pro_2024-08-28T23-42-29.435150.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/NousResearch__Hermes-3-Llama-3.1-70B-details
Qwen/Qwen2.5-72B,hf://datasets/open-llm-leaderboard/Qwen__Qwen2.5-72B-details/Qwen__Qwen2.5-72B/samples_leaderboard_mmlu_pro_2024-09-20T03-02-35.170648.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2.5-72B-details
allknowingroger/QwenStock2-14B,hf://datasets/open-llm-leaderboard/allknowingroger__QwenStock2-14B-details/allknowingroger__QwenStock2-14B/samples_leaderboard_mmlu_pro_2024-12-06T20-07-24.006733.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/allknowingroger__QwenStock2-14B-details
Saxo/Linkbricks-Horizon-AI-Korean-Superb-27B,hf://datasets/open-llm-leaderboard/Saxo__Linkbricks-Horizon-AI-Korean-Superb-27B-details/Saxo__Linkbricks-Horizon-AI-Korean-Superb-27B/samples_leaderboard_mmlu_pro_2024-11-20T03-47-15.826073.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Saxo__Linkbricks-Horizon-AI-Korean-Superb-27B-details
allknowingroger/QwenStock3-14B,hf://datasets/open-llm-leaderboard/allknowingroger__QwenStock3-14B-details/allknowingroger__QwenStock3-14B/samples_leaderboard_mmlu_pro_2024-12-06T20-12-30.678498.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/allknowingroger__QwenStock3-14B-details
qingy2019/Qwen2.5-Math-14B-Instruct,hf://datasets/open-llm-leaderboard/qingy2019__Qwen2.5-Math-14B-Instruct-details/qingy2019__Qwen2.5-Math-14B-Instruct/samples_leaderboard_mmlu_pro_2024-12-02T05-08-40.315655.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/qingy2019__Qwen2.5-Math-14B-Instruct-details
allknowingroger/QwenStock1-14B,hf://datasets/open-llm-leaderboard/allknowingroger__QwenStock1-14B-details/allknowingroger__QwenStock1-14B/samples_leaderboard_mmlu_pro_2024-12-06T20-08-10.157704.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/allknowingroger__QwenStock1-14B-details
qingy2024/Fusion-14B-Instruct,hf://datasets/open-llm-leaderboard/qingy2024__Fusion-14B-Instruct-details/qingy2024__Fusion-14B-Instruct/samples_leaderboard_mmlu_pro_2024-12-05T21-41-49.885245.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/qingy2024__Fusion-14B-Instruct-details
Lambent/qwen2.5-reinstruct-alternate-lumen-14B,hf://datasets/open-llm-leaderboard/Lambent__qwen2.5-reinstruct-alternate-lumen-14B-details/Lambent__qwen2.5-reinstruct-alternate-lumen-14B/samples_leaderboard_mmlu_pro_2024-09-28T11-34-19.772653.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Lambent__qwen2.5-reinstruct-alternate-lumen-14B-details
