,name,sha,precision,type,weight_type,architecture,average_score,has_chat_template,ifeval,bbh,math,gpqa,musr,mmlu_pro,is_not_available_on_hub,is_merged,is_moe,is_flagged,is_official_provider,upload_date,submission_date,generation,base_model,hub_license,hub_hearts,params_billions,co2_cost
01-ai/Yi-34B-Chat_bfloat16_2e528b6a80fb064a0a746c5ca43114b135e30464_True,01-ai/Yi-34B-Chat,2e528b6a80fb064a0a746c5ca43114b135e30464,bfloat16,chatmodels,Original,LlamaForCausalLM,24.226662652803373,True,"{'name': 'IFEval', 'value': 0.4698887839820565, 'normalized_score': 46.98887839820566}","{'name': 'BBH', 'value': 0.5560872910766164, 'normalized_score': 37.623987597243485}","{'name': 'MATH Level 5', 'value': 0.06268882175226587, 'normalized_score': 6.268882175226587}","{'name': 'GPQA', 'value': 0.33808724832214765, 'normalized_score': 11.74496644295302}","{'name': 'MUSR', 'value': 0.39784375, 'normalized_score': 8.363802083333338}","{'name': 'MMLU-PRO', 'value': 0.4093251329787234, 'normalized_score': 34.369459219858165}",True,False,False,False,True,2023-11-22,2024-06-12,0,01-ai/Yi-34B-Chat,apache-2.0,350,34.389,25.125695689981566
01-ai/Yi-6B_bfloat16_7f7fb7662fd8ec09029364f408053c954986c8e5_False,01-ai/Yi-6B,7f7fb7662fd8ec09029364f408053c954986c8e5,bfloat16,pretrained,Original,LlamaForCausalLM,13.611617485376058,False,"{'name': 'IFEval', 'value': 0.28933784580468713, 'normalized_score': 28.93378458046871}","{'name': 'BBH', 'value': 0.4309230591000865, 'normalized_score': 19.408504737915056}","{'name': 'MATH Level 5', 'value': 0.015861027190332326, 'normalized_score': 1.5861027190332326}","{'name': 'GPQA', 'value': 0.26929530201342283, 'normalized_score': 2.572706935123044}","{'name': 'MUSR', 'value': 0.39368749999999997, 'normalized_score': 7.044270833333335}","{'name': 'MMLU-PRO', 'value': 0.29911901595744683, 'normalized_score': 22.12433510638298}",True,False,False,False,True,2023-11-01,2024-06-12,0,01-ai/Yi-6B,apache-2.0,372,6.061,1.0985492537000408
01-ai/Yi-6B-200K_bfloat16_4a74338e778a599f313e9fa8f5bc08c717604420_False,01-ai/Yi-6B-200K,4a74338e778a599f313e9fa8f5bc08c717604420,bfloat16,pretrained,Original,LlamaForCausalLM,11.996098298832841,False,"{'name': 'IFEval', 'value': 0.08433068702154728, 'normalized_score': 8.433068702154728}","{'name': 'BBH', 'value': 0.42892948109603307, 'normalized_score': 20.148020103768047}","{'name': 'MATH Level 5', 'value': 0.01812688821752266, 'normalized_score': 1.812688821752266}","{'name': 'GPQA', 'value': 0.28187919463087246, 'normalized_score': 4.250559284116329}","{'name': 'MUSR', 'value': 0.45873958333333337, 'normalized_score': 16.842447916666668}","{'name': 'MMLU-PRO', 'value': 0.2844082446808511, 'normalized_score': 20.489804964539008}",True,False,False,False,True,2023-11-06,2024-06-12,0,01-ai/Yi-6B-200K,apache-2.0,172,6.061,1.1264239806184515
01-ai/Yi-6B-Chat_bfloat16_01f7fabb6cfb26efeb764da4a0a19cad2c754232_True,01-ai/Yi-6B-Chat,01f7fabb6cfb26efeb764da4a0a19cad2c754232,bfloat16,chatmodels,Original,LlamaForCausalLM,14.11765000523676,True,"{'name': 'IFEval', 'value': 0.33952135888331847, 'normalized_score': 33.95213588833185}","{'name': 'BBH', 'value': 0.41326019207548687, 'normalized_score': 17.00016656742376}","{'name': 'MATH Level 5', 'value': 0.013595166163141994, 'normalized_score': 1.3595166163141994}","{'name': 'GPQA', 'value': 0.29446308724832215, 'normalized_score': 5.92841163310962}","{'name': 'MUSR', 'value': 0.36879166666666663, 'normalized_score': 3.5656250000000003}","{'name': 'MMLU-PRO', 'value': 0.3061003989361702, 'normalized_score': 22.90004432624113}",True,False,False,False,True,2023-11-22,2024-06-12,0,01-ai/Yi-6B-Chat,apache-2.0,65,6.061,1.1106656722436012
01-ai/Yi-9B_bfloat16_b4a466d95091696285409f1dcca3028543cb39da_False,01-ai/Yi-9B,b4a466d95091696285409f1dcca3028543cb39da,bfloat16,pretrained,Original,LlamaForCausalLM,17.811867367746064,False,"{'name': 'IFEval', 'value': 0.2708779372066118, 'normalized_score': 27.08779372066118}","{'name': 'BBH', 'value': 0.49396075125308075, 'normalized_score': 27.626956112077934}","{'name': 'MATH Level 5', 'value': 0.055891238670694864, 'normalized_score': 5.589123867069486}","{'name': 'GPQA', 'value': 0.3179530201342282, 'normalized_score': 9.060402684563762}","{'name': 'MUSR', 'value': 0.40540624999999997, 'normalized_score': 8.909114583333334}","{'name': 'MMLU-PRO', 'value': 0.35738031914893614, 'normalized_score': 28.59781323877068}",True,False,False,False,True,2024-03-01,2024-06-12,0,01-ai/Yi-9B,apache-2.0,185,8.829,1.530663961417017
01-ai/Yi-9B-200K_bfloat16_8c93accd5589dbb74ee938e103613508c4a9b88d_False,01-ai/Yi-9B-200K,8c93accd5589dbb74ee938e103613508c4a9b88d,bfloat16,pretrained,Original,LlamaForCausalLM,17.72955178611439,False,"{'name': 'IFEval', 'value': 0.23270921155866434, 'normalized_score': 23.270921155866432}","{'name': 'BBH', 'value': 0.4793302602023641, 'normalized_score': 26.49249509714754}","{'name': 'MATH Level 5', 'value': 0.06646525679758308, 'normalized_score': 6.646525679758309}","{'name': 'GPQA', 'value': 0.31543624161073824, 'normalized_score': 8.7248322147651}","{'name': 'MUSR', 'value': 0.42940625, 'normalized_score': 12.109114583333332}","{'name': 'MMLU-PRO', 'value': 0.36220079787234044, 'normalized_score': 29.1334219858156}",True,False,False,False,True,2024-03-15,2024-06-12,0,01-ai/Yi-9B-200K,apache-2.0,75,8.829,1.5489823437933046
01-ai/Yi-Coder-9B-Chat_bfloat16_356a1f8d4e4a606d0b879e54191ca809918576b8_True,01-ai/Yi-Coder-9B-Chat,356a1f8d4e4a606d0b879e54191ca809918576b8,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,16.985989314863886,True,"{'name': 'IFEval', 'value': 0.4817041006750976, 'normalized_score': 48.17041006750976}","{'name': 'BBH', 'value': 0.48142000339111674, 'normalized_score': 25.94315294491389}","{'name': 'MATH Level 5', 'value': 0.04003021148036254, 'normalized_score': 4.003021148036254}","{'name': 'GPQA', 'value': 0.24748322147651006, 'normalized_score': 0.0}","{'name': 'MUSR', 'value': 0.3991770833333333, 'normalized_score': 7.963802083333333}","{'name': 'MMLU-PRO', 'value': 0.24251994680851063, 'normalized_score': 15.83554964539007}",True,False,False,False,True,2024-08-21,2024-09-12,1,01-ai/Yi-Coder-9B,apache-2.0,198,8.829,1.8195322295921676
1-800-LLMs/Qwen-2.5-14B-Hindi_float16_554e931a1b7e72689bdf044f8507e319e4b722e7_False,1-800-LLMs/Qwen-2.5-14B-Hindi,554e931a1b7e72689bdf044f8507e319e4b722e7,float16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,36.266177006668904,False,"{'name': 'IFEval', 'value': 0.582570911847232, 'normalized_score': 58.2570911847232}","{'name': 'BBH', 'value': 0.6523901531956199, 'normalized_score': 49.32988995210337}","{'name': 'MATH Level 5', 'value': 0.3330815709969788, 'normalized_score': 33.30815709969788}","{'name': 'GPQA', 'value': 0.3624161073825503, 'normalized_score': 14.988814317673373}","{'name': 'MUSR', 'value': 0.4489375, 'normalized_score': 14.350520833333334}","{'name': 'MMLU-PRO', 'value': 0.5262632978723404, 'normalized_score': 47.362588652482266}",True,False,False,False,False,2025-02-03,2025-02-06,0,1-800-LLMs/Qwen-2.5-14B-Hindi,mit,1,14.77,3.8660742873468124
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct_bfloat16_05b8099d33cc43eb065ab4aadb13c5362e1c3cbe_False,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,05b8099d33cc43eb065ab4aadb13c5362e1c3cbe,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,31.020777275634742,False,"{'name': 'IFEval', 'value': 0.30774677854758703, 'normalized_score': 30.774677854758707}","{'name': 'BBH', 'value': 0.6284322714967584, 'normalized_score': 46.54015554088327}","{'name': 'MATH Level 5', 'value': 0.311178247734139, 'normalized_score': 31.1178247734139}","{'name': 'GPQA', 'value': 0.3699664429530201, 'normalized_score': 15.99552572706935}","{'name': 'MUSR', 'value': 0.4490625, 'normalized_score': 15.432812499999995}","{'name': 'MMLU-PRO', 'value': 0.516373005319149, 'normalized_score': 46.263667257683224}",True,False,False,False,False,2025-02-05,2025-02-06,2,Qwen/Qwen2.5-14B,apache-2.0,1,14.77,5.400465469071647
1024m/PHI-4-Hindi_float16_9bb64444dcd4d306619ac29bcb32d29299238373_False,1024m/PHI-4-Hindi,9bb64444dcd4d306619ac29bcb32d29299238373,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,27.48785095027712,False,"{'name': 'IFEval', 'value': 0.00816832670647216, 'normalized_score': 0.816832670647216}","{'name': 'BBH', 'value': 0.6710015642760666, 'normalized_score': 52.46181381023763}","{'name': 'MATH Level 5', 'value': 0.23338368580060423, 'normalized_score': 23.338368580060422}","{'name': 'GPQA', 'value': 0.3976510067114094, 'normalized_score': 19.686800894854585}","{'name': 'MUSR', 'value': 0.4913541666666667, 'normalized_score': 21.519270833333326}","{'name': 'MMLU-PRO', 'value': 0.523936170212766, 'normalized_score': 47.10401891252955}",True,False,False,False,False,2025-02-06,2025-02-06,0,1024m/PHI-4-Hindi,mit,1,14.66,1.65964205977959
1024m/QWEN-14B-B100_bfloat16_adecb879fc4c585b789f36f19d5bccc150f40837_True,1024m/QWEN-14B-B100,adecb879fc4c585b789f36f19d5bccc150f40837,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,41.91906679224076,True,"{'name': 'IFEval', 'value': 0.7762104549262623, 'normalized_score': 77.62104549262622}","{'name': 'BBH', 'value': 0.653271132679638, 'normalized_score': 49.77664782103219}","{'name': 'MATH Level 5', 'value': 0.5438066465256798, 'normalized_score': 54.38066465256798}","{'name': 'GPQA', 'value': 0.35067114093959734, 'normalized_score': 13.422818791946312}","{'name': 'MUSR', 'value': 0.41, 'normalized_score': 9.883333333333335}","{'name': 'MMLU-PRO', 'value': 0.5178690159574468, 'normalized_score': 46.429890661938536}",True,False,False,False,False,2025-01-23,2025-02-06,3,Qwen/Qwen2.5-14B,apache-2.0,0,14.77,3.370181942335884
152334H/miqu-1-70b-sf_float16_1dca4cce36f01f2104ee2e6b97bac6ff7bb300c1_False,152334H/miqu-1-70b-sf,1dca4cce36f01f2104ee2e6b97bac6ff7bb300c1,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,29.097407726236643,False,"{'name': 'IFEval', 'value': 0.5181740005407873, 'normalized_score': 51.81740005407873}","{'name': 'BBH', 'value': 0.6102361685099691, 'normalized_score': 43.807147003691966}","{'name': 'MATH Level 5', 'value': 0.12462235649546828, 'normalized_score': 12.462235649546828}","{'name': 'GPQA', 'value': 0.35067114093959734, 'normalized_score': 13.422818791946312}","{'name': 'MUSR', 'value': 0.45820833333333333, 'normalized_score': 17.209374999999998}","{'name': 'MMLU-PRO', 'value': 0.42278922872340424, 'normalized_score': 35.865469858156025}",False,False,False,False,False,2024-01-30,2024-06-26,0,152334H/miqu-1-70b-sf,,221,68.977,12.19797195382831
1TuanPham/T-VisStar-7B-v0.1_float16_b111b59971c14b46c888b96723ff7f3c7b6fd92f_True,1TuanPham/T-VisStar-7B-v0.1,b111b59971c14b46c888b96723ff7f3c7b6fd92f,float16,chatmodels,Original,MistralForCausalLM,19.144808610895357,True,"{'name': 'IFEval', 'value': 0.36070404305021786, 'normalized_score': 36.07040430502179}","{'name': 'BBH', 'value': 0.5052203113352468, 'normalized_score': 30.24383447882599}","{'name': 'MATH Level 5', 'value': 0.05740181268882175, 'normalized_score': 5.740181268882175}","{'name': 'GPQA', 'value': 0.28523489932885904, 'normalized_score': 4.697986577181204}","{'name': 'MUSR', 'value': 0.4375, 'normalized_score': 13.554166666666669}","{'name': 'MMLU-PRO', 'value': 0.3210605053191489, 'normalized_score': 24.562278368794324}",True,True,False,False,False,2024-09-19,2024-09-22,0,1TuanPham/T-VisStar-7B-v0.1,apache-2.0,2,7.294,1.9052644538640493
1TuanPham/T-VisStar-v0.1_float16_c9779bd9630a533f7e42fd8effcca69623d48c9c_True,1TuanPham/T-VisStar-v0.1,c9779bd9630a533f7e42fd8effcca69623d48c9c,float16,fine-tunedondomain-specificdatasets,Original,MistralForCausalLM,19.144808610895357,True,"{'name': 'IFEval', 'value': 0.36070404305021786, 'normalized_score': 36.07040430502179}","{'name': 'BBH', 'value': 0.5052203113352468, 'normalized_score': 30.24383447882599}","{'name': 'MATH Level 5', 'value': 0.05740181268882175, 'normalized_score': 5.740181268882175}","{'name': 'GPQA', 'value': 0.28523489932885904, 'normalized_score': 4.697986577181204}","{'name': 'MUSR', 'value': 0.4375, 'normalized_score': 13.554166666666669}","{'name': 'MMLU-PRO', 'value': 0.3210605053191489, 'normalized_score': 24.562278368794324}",True,True,False,False,False,2024-09-19,2024-09-20,0,1TuanPham/T-VisStar-v0.1,apache-2.0,2,7.294,1.2487688271364052
3rd-Degree-Burn/L-3.1-Science-Writer-8B_float16_d9bb11fb02f8eca3aec408912278e513377115da_False,3rd-Degree-Burn/L-3.1-Science-Writer-8B,d9bb11fb02f8eca3aec408912278e513377115da,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,21.09120798437004,False,"{'name': 'IFEval', 'value': 0.42625012743963797, 'normalized_score': 42.625012743963794}","{'name': 'BBH', 'value': 0.5041306326216103, 'normalized_score': 29.19930078641656}","{'name': 'MATH Level 5', 'value': 0.10347432024169184, 'normalized_score': 10.347432024169184}","{'name': 'GPQA', 'value': 0.27432885906040266, 'normalized_score': 3.243847874720355}","{'name': 'MUSR', 'value': 0.3959479166666666, 'normalized_score': 11.693489583333331}","{'name': 'MMLU-PRO', 'value': 0.36494348404255317, 'normalized_score': 29.43816489361702}",False,False,False,False,False,,2024-11-19,0,Removed,,0,8.03,1.4193565486098367
3rd-Degree-Burn/Llama-3.1-8B-Squareroot_float16_2bec01c2c5d53276eac2222c80190eb44ab2e6af_True,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2bec01c2c5d53276eac2222c80190eb44ab2e6af,float16,basemergesandmoerges,Original,LlamaForCausalLM,11.223740793316347,True,"{'name': 'IFEval', 'value': 0.22134381219608418, 'normalized_score': 22.134381219608414}","{'name': 'BBH', 'value': 0.34609423326328875, 'normalized_score': 8.618063681935197}","{'name': 'MATH Level 5', 'value': 0.26586102719033233, 'normalized_score': 26.586102719033235}","{'name': 'GPQA', 'value': 0.25671140939597314, 'normalized_score': 0.8948545861297527}","{'name': 'MUSR', 'value': 0.3089166666666667, 'normalized_score': 0.7812499999999996}","{'name': 'MMLU-PRO', 'value': 0.17495013297872342, 'normalized_score': 8.32779255319149}",True,True,False,False,False,2024-10-10,2024-10-10,1,3rd-Degree-Burn/Llama-3.1-8B-Squareroot (Merge),apache-2.0,1,8.03,1.974099722258276
